Pintu Masuk,,,,,,,,,,,,,
,"Jumlah Kunjungan Wisatawan Mancanegara per bulan ke Indonesia Menurut Pintu Masuk, 2008 - sekarang (Kunjungan)",,,,,,,,,,,,
,2019,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
A. Pintu Udara,706704,731517,758821,772038,711229,829067,975870,977033,900409,855796,777244,838978,9834706
Ngurah Rai,451708,436266,441707,476104,483928,549483,604310,602457,589984,565966,492904,544726,6239543
Soekarno-Hatta,174963,196183,214161,196977,156654,190031,267143,251596,211775,189231,183759,186723,2419196
Juanda,13792,17389,20497,18431,14529,22485,24913,29180,20462,20895,20780,20546,243899
Kualanamu,16253,21815,21129,21613,15573,18935,20929,24623,18913,21518,20798,22431,244530
Husein Sastranegara,12524,15127,16342,14738,8029,8652,12581,13984,12869,13420,14616,14951,157833
Adi Sucipto,8055,9604,10550,9922,6664,6583,10480,12013,10609,9535,9218,9795,113028
Bandara Int. Lombok,2126,3590,3568,5143,2884,6127,5306,6622,6552,5711,4635,5499,57763
Sam Ratulangi,10905,11305,10761,11574,9755,8339,11203,14171,11874,10394,9261,10743,130285
Minangkabau,4528,5144,6196,5434,3576,5212,5183,5967,4427,5271,5013,5180,61131
Sultan Syarif Kasim II,2450,2989,3071,2745,2364,2971,2555,3229,2409,2677,2917,4042,34419
Sultan Iskandar Muda,1676,1739,2134,2225,1360,2051,2823,2935,2371,2560,2417,4012,28303
Ahmad Yani,2165,2033,2296,1635,996,1872,1851,2035,1946,2225,2296,2627,23977
Supadio,1598,2639,2316,1886,1527,1567,1826,2127,2077,1599,1811,1527,22500
Hasanuddin,951,1379,1825,1312,1105,1385,1473,1983,1503,1439,1595,1821,17771
Sultan Badaruddin II,1038,1573,1419,1409,1396,1725,1231,1605,1287,1183,1218,762,15846
Pintu Udara Lainnya,1972,2742,849,890,889,1649,2063,2506,1351,2172,4006,3593,24682
B. Pintu Laut,304479,340751,378698,328884,335111,386152,311429,368408,327642,332319,358264,388495,4160632
Batam,134415,159248,172461,154810,145447,175001,147690,183401,159331,158619,167288,190232,1947943
Tanjung Uban,40601,49394,61156,48560,58673,61850,49247,55638,50232,47670,52374,59340,634735
Tanjung Pinang,9268,13141,15813,15841,14816,18935,11951,15621,12768,12406,12378,16426,169364
Tanjung Balai Karimun,8572,11411,10859,10039,6235,10118,8425,10273,8245,8451,9209,10916,112753
Tanjung Benoa,3862,1190,7862,53,37,33,13,1679,28,2001,5021,7677,29456
Tanjung Mas,1646,2328,4999,1015,0,73,97,0,266,0,2202,5135,17761
Pintu Laut Lainnya,106115,104039,105548,98566,109903,120142,94006,101796,96772,103172,109792,98769,1248620
C. Pintu Darat,190552,171728,174392,173309,203196,218884,180874,184827,160668,158319,145273,149594,2111616
Jayapura,4418,3889,3871,4702,4743,4326,5557,5694,4052,3874,5006,6155,56287
Atambua,7835,5973,6741,9618,7457,8718,8961,9492,7731,8994,9824,12561,103905
Entikong,1563,2158,2366,1333,1290,2312,1720,2265,1704,1705,1691,3177,23284
Aruk,804,1989,2171,836,939,2081,1061,2081,1066,763,1009,1708,16508
Nanga Badau,1187,1128,1185,937,1705,1495,1178,1226,981,911,954,1585,14472
Pintu Darat Lainnya,174745,156591,158058,155883,187062,199952,162397,164069,145134,142072,126789,124408,1897160
Jumlah (A+B+C),1201735,1243996,1311911,1274231,1249536,1434103,1468173,1530268,1388719,1346434,1280781,1377067,16106954
Lainnya,-,-,-,-,-,-,-,-,-,-,-,-,-
Total,1201735,1243996,1311911,1274231,1249536,1434103,1468173,1530268,1388719,1346434,1280781,1377067,16106954
